Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
88,,12,,,,6.9
100,,,3,4,4,3.3
48,4,2,4,4,3,6.98
95,5,,4,5,5,9.9
60,6,,3,3,3,3.75
90,4.7,,2,3,3,3.65
40,3.7,4,2,2,2,5.9
22,3,5,2,2,2,4.15
24,4.85,3,3,4,3,4.35
18.3,4.9,3,2,1,2,2.89
90,15,80,3,4,4,8.5
119,5,12,2,5,5,6.2
331.8,5,26,1,1,1,6.5
45,,,5,6,4,6.5
10,3,3,3,2,2,1.9
33.5,3.5,,5,5,3,7.6
40,3.5,3,4,4,4,6.35
88,,,3,4,5,7.4
39,,,5,,,5.9
80,,8,4,4,5,7.5
64,4.6,6,3,4,,7.2
40,,10,,3,3,2.88
135,,,3,,,8.4
43.5,5.6,,5,4,4,7.5
28,3.3,,5,,,8.5
70,4,5,,,,8
105,,,,4,,7
80,,,4,,,6.8
80,,,2,3,2,2.8
58.2,5.6,,5,,,7.5
50,5.6,,6,,,8.9
40,3.8,5,4,4,4,9.5
36,8,,3,8,8,8.2
95,5.5,,,,,5.5
80.8,8,8,4,6,6,7.3
83,5,,,4,3,5.5
33,4.2,3,1,1,2,4.5
90,6,25,3,3,4,4.3
84,6,22,3,4,3,2.8
75,5,12,3,4,3,1.9
75,5,30,3,4,3,1.9
61,,,2,3,2,3.85
43,4,4,4,3,5,7.2
50,,8,3,4,5,5.7
70,3,3,2,3,3,4.45
40,4.7,,5,3,3,5.2
18,,4,5,3,3,3.63
45,4,,5,7,7,7.5
56,,,2,,,7.2
150,,12,2,4,4,6.1
41,,6,2,3,2,4.2
30,5,,,2,1,5.3
26.4,3.3,4,3,2,2,4.3
10,4,,3,2,3,1.68
117,10,14,3,4,3,5.5
52,4,16,3,4,4,7.9
45,4,2,4,4,3,5.5
68,5,6,,1,1,1.8
120,,,4,,,8.4
100,,,6,,,7
42,4,2,4,,,5.25
45,4,2,4,4,3,5.4
80,6,3.5,3,3,3,3.9
52,5,5,4,4,4,7.2
56,,,3,4,4,6.5
56,5,5,3,4,4,6.5
156,13,4,1,3,3,7.6
90,,,1,3,3,3.8
124.6,5.2,,2,5,2,9.6
94,4.2,26,2,3,2,3.1
100,,,3,3,3,4.5
60,4.5,12,3,4,4,9.5
73,6,6,4,4,4,8.5
30,,,5,3,3,3.05
83,5,3,2,5,5,6.9
70,,,,,,6.5
44.1,,,3,3,3,7
82.3,5.5,14,5,2,4,7.5
59,,,2,2,2,3.45
67.6,4,15,3,3,4,3.2
90,5,,,,,2.5
90,5,6,3,4,4,6.19
89,,,,,,9.3
45,4,6,3,2,2,6.5
75,5,12,4,6,4,4.6
210,10,5,2,3,2,8.6
100,,,1,2,2,3.6
78,4.5,8,4,4,4,7.85
55,,,3,,,9.3
105,5,5,,2,1,1.6
150,10,,2,4,3,6.4
105,,,3,4,5,5.05
31,3.4,3,3,3,2,5.3
39,2.8,3,2,2,2,4.78
30,3.27,4,3,2,3,3.8
28,5.3,2.5,3,4,4,4.25
50,4.5,3.5,4,4,5,6.5
27,5.5,3,4,2,3,4.4
25,1.5,2,4,2,2,2.8
23,3.74,4,2,2,1,2.3
63,4.05,2.5,3,4,4,6.95
25,6,3,2,2,2,3.65
39,8.5,3,4,3,3,4.86
16,3.1,3,2,2,2,2.75
240,,,3,5,5,9.2
60,7,3,4,4,6,6.15
36,3.5,3,2,2,2,4.9
25,5.11,3.5,2,2,2,3.9
19,3.5,6,3,2,2,3.6
64,4,5,2,3,2,4.7
48,3,3,4,5,5,8.6
32,2.9,2.5,2,2,2,4.45
45,5,5,5,3,5,6.5
44,5.2,3,4,4,5,6.7
68.8,5.8,4,2,4,4,7.6
40,4,12,6,3,3,5.5
80,,,2,,1,6.2
75,,,,,,2.25
116.5,,27,3,5,3,8.2
35.7,,10.5,4,3,4,8.5
53,3.5,5,4,4,,4.99
31,4.2,3,6,4,5,7.5
56,4,,5,5,5,8.1
100,,,3,3,3,3.9
33,4.5,,5,3,4,4.4
120,5,14,3,5,6,7.5
50,,,4,4,3,9.15
53,4.5,,3,3,2,5
61.7,5,13,2,2,2,2.85
102,6.8,4,3,4,3,9
105,,,,,,8.5
40.6,,,,,,5
50.5,6.7,3,4,4,5,8.5
107,5,10,,2,1,1.75
40,4,3.3,5,6,4,5.4
46,4.5,,3,2,,2.99
49,,,5,9,9,7.5
65,4.5,5,2,2,2,5.2
173,5,5,1,2,2,2.45
72,,,3,5,6,8.9
51,,,4,5,5,5.21
60,4,4,4,4,3,6.7
45,,10,3,3,4,6.7
74,7.5,12,,,,6
70,6,20,1,3,2,6.2
42,3.6,4,5,6,7,8.55
40,4,10,3,3,,5.29
63.22,,,,4,,8.4
68,4,4,2,2,,5.6
52,,,5,,,6.45
400,,,,,,10
40,,,,,,7.8
131,10,7.5,3,3,3,3.7
52,4,4,,3,3,1.05
61.9,4,15,3,3,3,6.5
35,,,5,3,4,3.95
189,,24,2,2,3,6
125,5,,5,9,9,7.6
35.6,,6,5,,,8.6
72,,,2,,,6.9
64,4,6,3,3,2,3.2
39,3,5,3,3,2,2.45
49,4,3,4,3,3,3.15
100,5,16,3,3,4,7.9
42,3.5,,4,4,4,8.65
40,4,4,4,4,4,7.2
30,,,4,3,4,4.79
40,,3.5,4,3,3,6.79
40,,4,4,3,4,8.6
24,3,5,4,4,4,4.7
36,,,,,,5.4
33,,,4,3,3,2.48
40,,,,,,5.6
40,,10,4,,,4.4
53,5,,3,3,3,4.9
77,5,30,4,7,5,8.5
55.2,5,6,1,1,1,5.4
75,5,14,1,3,2,1.88
45,4.9,6,6,4,5,5.55
90,5,5,2,2,2,1.8
287.5,12,7,2,3,3,8.5
78.2,6.3,,1,2,,2.65
70.5,4,6,3,6,5,5.8
42,,,,,,9.99
50,5.5,,2,2,,4.8
24.22,,,3,4,2,3.8
107.8,7.7,10,4,5,4,8.9
92,,,3,3,3,9.2
250,50,7,,,,2.4
100,,,,4,4,6.5
100,,,3,4,4,2.93
100,5,35,3,4,4,3.4
80.9,5,18,3,4,4,2.4
52,5,,3,3,3,4.8
85,4,5,3,,,5.1
91,5,6,1,,,4.1
40,4,2,1,2,1,1.98
48,4,10,3,4,5,5.8
48,,,3,4,4,5.9
50.2,6.3,5,2,2,2,1.55
90,,,3,3,2,8.8
170,5,,,,,5.5
91,6,,5,,,9.1
100,5,20,1,2,1,1.2
68,4,6,5,4,5,5.85
60,4,8,2,3,2,3.68
56,4,10,3,4,4,6.2
74,4.9,4,1,2,3,4.35
113,5.5,7,,,,8.4
120,5.5,,,,,8.2
73,,,,2,2,9
109.2,5,,,3,2,8.8
34,,2,2,2,2,4.76
33,,,5,4,,3.5
32,,3.5,6,5,,7.1
64,4,8,3,3,3,10
80,3.8,5,5,4,4,8.5
90,,,2,4,3,1.75
57,5,3,1,1,1,4.25
95,5,7.5,3,3,3,7.5
40,4,6,2,2,2,5.05
75,9.5,,3,4,4,8.6
41.8,,,3,3,3,2.85
55,10,8,2,2,2,3.68
56,,7,3,3,3,4.65
45,,,4,,,8.4
132.6,,,2,3,2,8.5
46,4,,5,4,,4.6
42,3.5,,3,3,4,7.7
46.6,4,3,2,2,3,4.5
63,,,,,,7.8
90,,14,3,,,3
40,10,4,5,6,4,5.5
64.5,3.1,4,4,2,3,7.2
33,5.3,4,4,3,4,7.1
60,6,6,3,3,3,3.1
84.7,,,3,4,,7.9
66,4.5,15,4,4,5,7.98
70,4.7,11,2,2,2,8.7
58,14,14,2,2,1,4.65
43,,5,2,2,2,6.6
40,,,5,5,4,4.5
45,4,8,5,3,5,8.45
79,3.5,2.5,2,4,2,9.5
25,,,4,3,,4.75
35,5,,5,4,,8.4
34,3,,3,,,4.65
97.9,5,,2,3,2,8.3
22,3.1,7,5,3,4,7.2
133,5.36,,1,,,7.8
35,4,15,5,5,5,4.35
142,7.1,10,1,1,1,8.6
38,3.7,15,3,3,3,6.4
80,5.2,5,1,1,1,5.6
156,6,8,1,4,2,9.9
150,5,7,1,4,4,3.2
36,,3,2,2,2,4.45
83,6,,2,2,2,6.3
68.3,,20,3,,,2.39
72,3.3,8,2,3,2,5
72,4,10,3,4,4,6.95
72,3.6,,2,3,2,1.9
50,5,13,5,,,8.8
50,5,13,5,,,8.8
87.75,6.5,,,,,7.3
30,3,4,4,4,3,4.6
101,5,,1,2,1,5.3
60,5,3,4,4,4,5.9
130,5,72,3,4,4,3.1
42,,,5,6,5,6.9
56,,,4,5,5,7.8
44,4,3,5,4,4,5.4
60,5,6,3,,,8
50,5,2,4,4,3,6.5
90,6,16,2,4,3,4.85
50,4,4,5,4,4,7.59
44,4,2,5,5,4,5.6
30,,,4,3,3,4.15
38,3,4,2,2,2,4.65
80,5,12,3,3,3,4.5
62.5,5,13,5,6,5,7.4
52,4,5,2,2,2,6.6
97.9,4.5,6,1,3,2,2.3
100,4.7,5,,3,2,5.95
168,8.4,15,1,5,3,3.7
100,5,48,3,4,3,4.8
52,,8,4,4,4,7.9
67.5,4.5,6,5,4,5,5.2
110,,,3,7,6,7.9
100,5,24,4,,,5.2
120,6,60,3,4,4,8.54
112,,,3,,,2.6
67,,8,4,4,4,8.4
200,10,12,,3,3,5.6
30,3,6,3,3,3,6.8
130,,,2,3,2,5
78,,3.5,5,6,6,6.85
58,4,,2,3,2,3.65
100,5,16,1,1,1,2.65
42.5,6,6,3,4,3,6.5
42.9,4,5,5,5,4,6.55
61,4.2,6,4,4,4,6.1
96,,18,,,,3.79
31.3,3.4,,,,,4.3
100,,12,3,4,4,9.5
26,3.5,,4,3,3,4.85
83.5,,,2,2,2,3.5
110,5,15,3,4,5,5.75
160,,7.5,2,3,3,8.3
145.2,6,13,2,3,2,2.2
80,,,5,7,8,8.7
300,,,2,3,2,10
59.1,4,3.5,3,4,3,6.9
84,,8,2,3,4,5.9
118.37,,,4,5,5,7.5
42.9,4,5,5,5,4,6.55
54,4.5,5,2,3,2,5.15
58.5,4.5,4,5,5,5,8.5
76,4,5,4,4,5,7
75.8,,,4,4,3,7.7
42.5,4,,2,2,2,7.1
47.6,4,5,4,4,4,6.8
42,3.5,4.5,4,4,4,5.5
82.3,5.35,8,2,3,2,7.1
70,4.2,6,2,2,2,7.9
84,6,4,,2,1,2.85
120,4.5,7,,3,4,7
75,,,4,,,7.5
54,8,8,1,2,1,8.5
73,,,1,2,2,2.27
55,,,5,3,3,6.9
45,4.6,2.5,5,7,7,5.8
70,5.61,24,3,4,3,3.5
37.1,4.35,15,,1,1,7.5
57,4,5,3,3,2,5.8
71.8,6,,4,4,5,6.6
60,3.3,4,3,5,4,6.38
46,4.4,,3,3,3,5.25
50,4.3,,3,4,3,4.2
72,,,,2,2,2.7
48,4,4,2,2,2,5.2
36,,7.5,2,2,2,3.35
68,4.5,,3,3,3,9.9
120,6,34,4,4,4,7
72.8,,,3,4,4,4.39
68,,,4,5,6,7.6
48,,,2,2,2,4.18
225.7,,,2,,1,9.14
37,3,5,3,2,2,6.3
35,3.4,5,5,5,5,6.9
100,,7.5,3,3,3,5.9
97.6,6.1,8,3,3,3,7.75
47,,8,3,3,3,6.9
80,,,3,3,3,2.55
185.6,5,7,1,3,2,5
75,,,3,3,2,1.7
52.8,,6,3,4,3,4.4
76,,,4,6,6,6.7
80,5,,3,,,5.7
164,8,16,2,4,4,8.8
50,3.75,2.5,2,2,2,4.95
258,,,1,3,2,6.5
46,4.8,,2,2,2,5.98
227.1,,2.5,2,4,4,5
500,15,20,1,3,3,10
39.4,3.5,4,2,2,2,4.55
24,,3,1,2,2,3.5
36,,7,3,4,3,2.88
88,,,4,5,5,6.5
108.9,5,5,,,,6.5
73,4.5,3,,1,1,1.42
60,4.5,,4,3,4,6.3
30,3,3,4,2,3,4.35
45,3,20,1,1,1,8
156,8.8,7.5,2,4,3,8.6
100,5,7.5,1,2,1,3.95
87.9,5.5,12,,,,9.2
45,3.5,2.5,5,5,4,6.2
151,7.8,,2,2,3,5.8
33,3.2,5,4,3,3,7
156,8,14,4,4,5,6
55,4,3,5,6,5,8.9
50,,,4,5,6,7.49
46,,,5,4,4,8.9
43,,,6,4,5,5.45
90,,,2,7,2,9.55
15,,,2,1,2,1.65
50,,,5,6,5,9.35
40.3,,,6,4,5,9.6
61,,,,3,3,4.5
41,4.9,,5,,,9.95
66,,,4,8,8,9.8
72,,8,2,3,3,4.2
58,,,3,4,3,4.8
60,4.5,8,2,,,4.5
54,8,12,4,5,5,9
58,4.2,4,4,4,4,8.5
42,4,2.5,2,3,2,4.65
75,,60,4,4,5,9.5
109.2,4.5,11.5,,,,7
60,4,6,2,3,3,4.5
49,,,5,6,4,8.99
87,,,,3,,7.3
85,5.4,6,,5,5,5.1
68,4.2,,2,2,2,6
60,3.6,3,5,6,6,9.5
105,9,9,3,3,4,8.3
62,,,,,,7.5
60,4,3.5,3,4,3,6.9
90,4,3,1,2,1,2.7
60,6,,,,,1.5
46,3,5,4,4,,5.9
90,,7.5,3,4,4,6.5
82.4,4,10,,2,1,6.5
156,,4,,3,3,7.6
68,4,8,3,4,5,9.8
51.1,6,6,3,4,3,5.28
100,5,8,1,2,1,1.53
106.2,6,13.5,4,,,7
56,4,2.5,2,2,2,5.4
56,3.6,3,4,4,3,7.8
55,4.2,,6,4,5,9.3
46.5,4.5,6,4,5,5,7.5
67,,,6,4,5,7.6
54,6,,3,3,3,5.9
95,4,,3,3,4,7.69
95,4,,4,5,4,7.3
60,5.5,3.5,4,3,3,5.8
53.9,9,6,5,8,8,7.5
150,8,,,,,8.7
56.5,4,3.5,2,2,,4.39
38,,3,3,3,3,3.98
59,4,3,6,7,7,8
36,,,2,2,1,3.9
43,3.8,3,2,2,2,6.6
50,,,,,,5.2
85,,,3,4,3,2.7
75,5,7.5,4,4,4,5.5
87,6.3,,,2,2,2.09
52.8,,10.5,2,2,2,5.29
99,5,12,4,8,4,5.6
80,5,12,3,4,4,4.8
46.2,3.5,10,4,4,3,9
27,,,,2,2,4.9
48,4,5,,2,2,2.55
70,7,,2,2,3,7
88,,,,,,10
70,4,4,2,3,3,5.9
35,4.5,6,6,3,5,5.7
64.8,4,4,4,6,7,6.5
30,,,5,3,4,4.7
129,7,18,2,2,2,5.9
92,6.5,,,,,7.5
104,,,,,,8.8
96,6,12,3,4,3,6
64,4,3.5,1,3,2,2
117,10,,2,2,2,6.44
60,5,13,3,3,3,3.25
57.4,4.5,3,2,2,2,4.5
148,,,,,,6.9
75,5,12,,,,4.4
36,,,4,3,,5.6
50,,12,4,4,4,4.35
75,,5,2,4,3,3.7
110,5,15,3,5,5,5.46
60,5,22,2,3,3,3.25
67,7.05,5,,2,2,1.8
120,6,34,4,,,7.4
63,,,5,,,7.2
60,5,22,3,3,3,3.25
99,5.5,,,2,2,2.25
75.6,4.2,8,2,3,2,4.6
112,,,2,3,3,3.99
122.8,6,,,6,6,3.6
52.8,,6,3,3,3,6.16
75,5,10,3,4,4,9.8
56,4,3,1,1,1,2.95
45,4,,2,2,2,4.65
49,8,8,1,2,1,6.5
33,,,4,,,2.7
100,,,4,5,3,6.6
100,,,,4,4,5.3
70,5,,5,5,5,10
90,,23,3,4,4,6
79,6.2,26,,,,7.5
30,3,3,5,3,4,4.15
100,5,15.2,,,,5.78
60,,,,,,2.1
68,4,15,4,5,3,5
100,,10,4,4,4,8
100,5,30,3,6,4,8.3
160,,,3,5,5,6.1
100,,15.2,,,,6
33,5.3,3,5,3,4,7.1
117,5,,3,6,6,8.5
39,3.9,,5,3,4,4.1
60,5,,2,2,2,7.6
60,7,5,2,,,6.8
124,,,2,,,3.7
85,5,13,3,3,4,5.7
87.8,5,5,1,2,2,4.5
61.3,4,4,3,4,3,4.35
50,9,4,3,3,,6.5
36,,,5,4,5,3.8
80,,,3,4,4,2.4
33,3.3,10,5,5,5,5.8
40,3.6,,3,4,3,10
225,,,,2,2,6.4
80,4,14,2,2,2,2.3
124,10,5,,,,2.8
125,5,12,4,4,4,7.4
100,12,25,4,4,5,8.8
100,,,3,,,9
100,12,12,3,4,4,9.5
31,,,2,2,2,4.5
76,,,,,,7.9
19,2,2,5,4,4,3.7
32,4,8,4,4,3,2.78
116,,3,2,3,2,9.9
135,7,13.5,3,3,3,2.6
34,5.3,,5,3,4,5.7
40,5.5,,5,3,3,6
75,5.8,10,1,4,4,7.9
30,4.2,5,5,5,5,5.1
30,4,5,5,5,5,5.02
28,4,8,3,3,2,2.7
75,6,12,4,4,4,3.6
31.5,4.2,4,1,2,2,3.25
51.2,,,4,,,5
46,,,5,6,6,9
50,5,,1,2,2,2.7
54,4,4,3,4,4,4.55
46.8,,8,2,2,2,6.5
51,4,3,,2,2,6.5
33,4,,3,4,3,4.75
95,5,30,4,8,7,3.2
32,,,2,2,2,1.4
75,5,10,4,4,5,7.8
33,4,3,4,3,3,2.5
104,6.5,,4,,,8.8
41,3.8,3,3,3,2,2.2
70,5,32,5,6,5,9.5
108,15,30,5,5,5,10
52,3.3,20,,1,1,2.5
100,5,15,3,4,5,5.78
318.9,6.7,40,2,2,3,9.4
41,,,2,1,1,5.5
36,,,4,,,6.2
52,,10,3,4,4,6.2
50,7.9,,5,2,,9
41,,,5,4,4,5.5
22,5,50,5,,,9.9
30,,4,2,2,2,3.52
35,,,2,2,2,3.15
150,10,5,2,3,3,6
40,4,4,4,4,4,6.95
32,3.3,16,2,2,2,8.6
60,4.7,1.7,2,2,2,6.5
32,,,2,3,2,5.9
68,4,20,5,8,7,9.9
80,,,1,7,7,8.99
50,3.5,5,3,3,3,9.9
22,2.8,,3,2,2,3.35
70,4,8,,,,7.89
80,4,12,5,,4,8.49
35,,,5,3,4,7
229.3,8,10,,2,2,3
44,4.3,3.5,4,4,3,3.2
34,,,4,,,2.8
223.3,10,,,,,9.5
209,10,6,,3,4,8.7
56,4,8,5,4,4,8.2
35,5,4,3,3,3,2.58
137.5,5,10,2,,,2.8
110,,20,2,2,2,4.9
100,,,,3,3,2.85
145,5,,3,,,5.3
46.3,,,,2,1,2.99
50,,,4,3,2,1.8
90.5,3.7,7,2,4,4,6.8
26,,,2,3,1,1.5
40,,,,4,4,9.6
32,,2.5,,1,1,2.4
100,4,18,3,4,5,3.79
35,,2,2,1,1,1.59
153,7.2,60,3,,,7.8
150,,10,1,1,1,1.15
90,,20,3,4,4,2.3
85,,,3,3,4,5.8
52,5,,3,3,3,5.5
85,5,8,3,4,4,7.3
108,6,25,4,4,4,6.8
100,5,8,3,4,4,3.9
53.4,6,7,4,4,4,4.69
50,3.65,5,3,4,3,2.6
50,4,13,5,5,5,7.9
276,,,,,,3.99
35,3.4,,5,3,4,6.5
41,3.2,4,6,8,8,9.75
35,,,5,6,,6.5
39,3.35,3,5,6,3,4.65
35,,,4,4,3,3.5
78,6,,,,,9.6
112,,,,,,7.5
70,,,2,,,2.75
40,4,7,3,4,3,2.8
37,,,4,,,5.5
47,4.5,10,3,4,4,3.95
225,,,,2,2,6.4
75,5,15,4,,,5
110,5.4,4,3,3,2,4.1
120,,,,,,6.45
53,4,3,4,5,3,5.99
68,,,4,5,5,6.5
76,4,10,1,1,2,3.9
59,5.2,2,4,4,3,8.4
100,5,12,4,,,6
116,4.5,,,3,,7.3
52,4,,,,,3.6
42,,4,3,3,3,6.99
100,,,,,,4.8
51.15,,,4,3,5,8.9
400,18,2.5,1,3,2,3.97
168,,,2,,,4.9
63.5,,,2,,,9
36,,,5,,,2.68
35,,,5,,,2.9
85,5.5,17,5,,,3.39
430,,,,3,1,7.5
90,,,,4,3,9.7
63,4.2,13,5,5,5,6
47,4.6,3.5,,,1,1.25
78.1,5.6,30,3,,,6.8
129.5,,,3,4,4,6.5
100,5,6,2,3,2,3.6
150,7.5,52,,,,6.85
100,,,,,,5.9
81,4,6,,5,6,10
65,4,,2,3,2,3.8
122.5,,,,,,3.05
45,4,,4,3,,6
87.3,5.2,6,1,2,2,2.45
50,4.55,,3,4,3,6.9
100,,,2,4,2,2.46
51,,,3,4,4,3.8
150,7,8,,1,1,1.6
30,4,,4,,,3.35
42,6,5,5,,,4.85
130,6.5,4,,2,1,4.95
63,,,,,,5.7
98.5,6.7,,3,4,4,10
80,5,7.5,2,3,2,6
58,5.2,,5,3,4,6.1
125,5,,,2,2,6.9
65,6,6,4,5,5,7
60,4,11,4,4,4,5.8
58,,,4,4,3,8
50,,,4,,,8.9
320,6,,,,,5
53,4,,,1,,2.3
100,6,13,4,4,4,5.7
47,,,2,2,2,2.35
180,9,8,3,7,5,8
72,4,8,5,5,6,8.3
62,4,5,5,4,5,8.68
40,3.5,4.5,3,2,2,3.55
83,6,,1,2,1,3.4
66,4,8,4,4,5,4.55
78.9,7.16,13,3,4,4,4.79
48,4,6,3,3,3,5.9
55,5,40,3,2,2,3.3
111,6,16,3,4,4,7
299,15,12,2,4,3,7.5
45,,,6,3,4,7.86
60,,,3,,,9.5
25,3,2,3,2,1,3
46,,,2,2,2,4.3
30,,,2,2,2,3.19
100,5,9,3,4,3,4.5
54,,,,,,1.9
48.6,5.2,,3,3,3,2.55
63.9,4.8,3,1,2,1,2.25
40,3,3,1,2,,2.4
62.7,4.7,3,2,3,,3.6
36,4,4,2,2,1,3.2
95,5,30,3,8,9,9.5
95,5,30,4,8,9,9.5
62,4.1,,2,3,3,5.5
393.2,15,6,3,4,4,7.5
100,4.6,28,2,2,3,4.2
92,4,6,1,2,2,3.75
124,,40,5,,,10
50,7,,2,2,2,5
60,4,,4,4,4,10
37.5,,,3,3,4,5.7
30,,,2,3,2,5
32,3.2,4,3,4,3,6
43,5,6,2,3,1,3.35
31,3,8,2,2,1,3.3
66,4,6,4,5,3,6.7
48,,,2,3,2,5.5
175.4,4,4,1,2,2,8
90,4.5,,,3,,8.6
35.5,4.4,20,1,1,1,2.6
120.1,5,7,3,3,3,6.5
63.6,,,,,,3.95
52,4.3,,5,6,5,7.39
57,4.5,,5,5,3,5.9
64,4,6,3,4,5,5.2
75,12,12,3,4,3,9.5
73.96,,,,,1,6.3
48,,,,2,,1.23
120,9.6,79,1,2,2,7.2
30,3.3,,5,4,4,5.4
100,,12,3,5,4,7.6
450,15,10,2,3,4,8
50,,,4,4,,8.9
52,,5,,1,,3.15
35,,,,2,,1.95
40,4,10,2,2,2,5.4
90,12,60,4,8,8,9.5
42.4,4.8,6,1,1,1,4.9
56,4,13,5,6,5,7
75,5,20,5,4,3,4.2
32,,,2,4,3,2.6
90,,,,,,3.95
57,,,,,,8.7
52,,,5,,,8.7
43,4.3,3,2,2,1,1.5
117,,,3,4,4,9.7
144,6,33,3,,,7
117,,,3,4,4,5.9
100,5,20,3,6,4,9.5
100,5,10.5,1,5,5,4.05
117,,,3,4,4,6.8
82,5,12,3,4,4,8.6
59,,,2,3,2,5.5
40,4,4,2,1,1,4.1
60,3,3,2,2,2,4
81,5,7,2,2,2,2.9
50.1,4,2,2,4,4,4.23
110,5,6,2,3,2,5.8
46.8,,9.6,,,,6.2
118.2,5,2.5,1,1,1,4.8
32.4,,1.83,2,,,7.52
47.4,,3,,,,4.2
105,3.2,3.5,,,,5.4
133.8,5.1,,,,,5.7
66.3,5,5,4,,,5.6
104.9,,4.5,,,,7.3
301,,,,3,2,2.79
127.3,,3.5,,,,5.4
100.7,4.25,5.5,,,,3.5
88.95,5,,,,,6.2
124.8,5,4,,,,3.7
90.4,,,,,,6.3
90.6,4.3,3,,9,,6.6
83.3,4,5,,,,5.4
95.4,4.5,,,,,4.9
124.8,5,4,3,,,3.7
114,,,,,,7.8
150,5,6,1,2,1,2.2
300,,,,3,,5.9
80,8.04,4,2,,,4.2
190.4,10,3.3,,,,8
44,4.8,,4,4,4,4
83,,4.4,,,,5.9
62,,2,,,,3.8
48.6,,3.86,2,,,7.2
65.9,10,6,,,,2.95
100,5,16,3,4,3,5.69
11,,,,,,1.95
62,,,1,3,2,2.85
100,5,20,3,6,5,9.5
198,,,2,2,2,8.5
40,,3,2,2,2,3.6
68,,5,3,4,3,3.5
70,,,1,2,2,7.3
80,,,2,3,4,4.8
21.5,,,1,1,1,2.08
250,,,,,,7
400,,,,,,6
114,,6,,3,2,9
27,,,4,4,3,5.4
37,,,4,4,3,5.5
52,4,4,2,3,2,4.9
74,,,4,7,4,7.6
150.9,7,20,3,4,3,5.8
72,,,4,,,5.85
40,4,6,2,3,3,2.18
42,,5,5,3,3,4.4
63,4.5,7,5,6,4,5.2
33,,,5,,,4.68
85,5,12,3,4,4,2.15
50,4.2,3,3,3,2,5.1
120,,,3,4,5,6
135,9,12,3,6,6,7.5
180,9,12,3,6,6,9.7
135,9,12,3,6,6,7
90,5,20,,,,7
83,,4.5,,1,2,6.85
51,,,2,2,3,4.35
60,,3,3,4,3,5.2
40,3,,4,,,4
100,5,10.5,3,5,5,7
42,5.5,4,5,3,4,6.3
52,,,2,2,2,3.72
91,,,6,,,6.5
57,4,8,2,3,2,5.8
65,5,5,4,5,6,5.05
80,6,3,3,5,5,7
90,4.5,,2,3,3,3.25
64,5,6,3,4,5,7.5
40,3.6,5,5,6,7,8.5
60,,,4,,,5.5
51,3.6,3,3,4,5,7.5
65.7,4,20,1,2,1,2.2
95,,25,5,4,4,8.8
93,7.6,8,1,1,1,6.8
40,4,5,4,5,6,4.8
61.8,5,6,1,3,2,4.97
50,4.6,4,5,5,5,6.8
50,3.3,,4,4,3,5.52
60,4,4,2,3,2,4.05
40,,,5,,,4.5
225,12.5,12,,,,9.3
53,,6,3,4,4,5.35
45,,,1,2,2,4.85
119,7,12,4,6,5,8.4
100,5,5.5,4,7,7,7.98
90,,,2,4,2,4.5
119,5,12,3,5,4,5.75
111,11,60,2,4,4,6.8
47,4,4,3,5,3,8.7
160,8,14,3,4,4,7.05
33,,2.5,4,3,3,3.1
80,,,2,,,2.6
35,,,,,,5.6
45,4.2,,5,6,4,5.2
60,,,,,,6.5
58,,,,,,6.8
70,,7.5,3,2,3,7.8
35,,,5,6,4,5.7
56,4,,4,4,,9.49
125,5,7.5,3,3,3,7.2
75,,13,5,6,,8.2
67,,6,2,1,1,4
100,5,7,3,3,3,8.5
33.4,,,,2,1,1.35
250,,,1,2,2,8.5
105,5,2,3,6,5,7.6
74.1,,,2,3,3,7
90,,12,3,4,4,3.7
164,,,3,5,6,9.49
90,,36,2,4,4,6.8
105,,,,,,8.5
540,,,,2,3,7.8
56,,,4,5,6,5.7
36,3.66,,4,3,4,4.5
48.8,,6,4,4,5,7.6
105,12.5,,2,4,3,8.9
72,,,3,4,4,4.4
73.2,,13,3,4,4,4.4
40,4.5,3,5,3,4,5
338,10,10,1,2,1,2.5
227,8,6.6,1,1,1,3
131.5,6.65,3,2,4,2,3.1
130,,,2,,1,3.2
130,,,,,1,3.2
90.2,,,,,,8
70,5,15,5,6,5,9.3
32,3,,4,4,4,6.5
40,3.6,10,3,5,3,10
120,,,,,,7.3
30.4,,,2,2,2,3.99
80,,,,,,2.99
242,6,,2,2,2,2.7
54,5,13,5,4,4,8.6
44,,,2,2,1,1.13
36,6.5,5,2,2,2,6.5
102,12.5,25,2,4,2,8.9
60,,,,,,7.5
64,5,,,,,8.3
180,9,6,4,4,3,10
60,6,8,2,2,2,8.5
112,,26,3,4,4,6
171,8.5,15,1,2,2,2.6
40,,,4,4,,4.9
190,8,15,2,4,3,9.5
65,5,,5,,,6.5
48,4,4,3,3,3,5.4
152.1,8.3,5,1,3,2,8.8
60,,,2,2,2,5.45
452,,,2,2,2,5.2
30,,,,,,5
57,4,5,5,4,5,7.99
150,6,,,5,2,8.2
36,8.5,4,4,5,5,6
32,4.1,4,5,3,4,3.7
90,,28,,4,,5
150,,,,5,4,1
80,,20,3,4,5,7
70,5.2,,3,4,3,4.55
32,,,5,3,4,4.2
40,,,4,4,,6.1
420,20,10,2,3,3,10
360,,,,,,10
300,,,,,,7
125,,,,,,2
150,,16,3,4,,4.85
